method,agents,time,distance
one,1,66642.12,659590.67
one,2,19806.67,784815.11
one,4,21009.12,1185419.03
one,8,10736.57,1778124.96
one,10,9842.84,2063949.84
one,15,7774.68,2494013.76
one,20,5375.93,2540016.11
one,25,5328.50,2590623.71
one,30,5482.66,2649557.48
two,1,1374943.48,624582.03
two,2,772923.93,775222.81
two,4,397203.27,1101065.34
two,8,217156.90,1706281.31
two,10,179442.13,1938281.50
two,15,113568.68,2409097.88
two,20,103687.35,2579598.95
two,25,115975.11,2621634.54
two,30,126502.22,2657385.60
